
CLKs     PCr      PCs      IRs          PCerr  Werr      LEDs         RegW  RDins        MemW  MDins
016c     3270     3270     8fb40000     00     00000     00000001     1     00000000     0     00000000
016d     3274     3274     23bdfffc     00     00000     00000001     1     000007dc     0     00000000
016e     3278     3278     8fb30000     00     00000     00000001     1     ffffffff     0     00000000
016f     327c     327c     23bdfffc     00     00000     00000001     1     000007d8     0     00000000
0170     3280     3280     8fb00000     00     00000     00000001     1     00000001     0     00000000
0171     3284     3284     23bdfffc     00     00000     00000001     1     000007d4     0     00000000
0172     3288     3288     8fa40000     00     00000     00000001     1     00000000     0     00000000
0173     328c     328c     23bdfffc     00     00000     00000001     1     000007d0     0     00000000
0174     3290     3290     8fa20000     00     00000     00000001     1     00000000     0     00000000
0175     3294     3294     42000018     00     00000     00000001     0     00000000     0     00000000
0176     0010     0010     00008021     00     00000     00000001     1     00000000     0     00000000
0177     3150     3150     afa20000     00     00000     00000001     0     00000000     1     00000000
0178     3154     3154     23bd0004     00     00000     00000001     1     000007d4     0     00000000
0179     3158     3158     afa40000     00     00000     00000001     0     00000000     1     00000000
017a     315c     315c     23bd0004     00     00000     00000001     1     000007d8     0     00000000
017b     3160     3160     afb00000     00     00000     00000001     0     00000000     1     00000000
017c     3164     3164     23bd0004     00     00000     00000001     1     000007dc     0     00000000
017d     3168     3168     afb30000     00     00000     00000001     0     00000000     1     ffffffff
017e     316c     316c     23bd0004     00     00000     00000001     1     000007e0     0     00000000
